Customer Name,Age,Gender,Marital Status,Education Level,Income Level,Occupation,Account Balance,Length of Time with Bank (Months),Transaction Frequency,Average Transaction Amount,Digital Banking Usage,Customer Service Interactions,Sentiment Score,Life Event,Competitor Proximity,Market Conditions,Customer Interactions,Product Usage,Customer Satisfaction,Customer Engagement
Tammy Marshall,25,Female,Widowed,Bachelor's Degree,171130,Administrative,7041.42747187439,275,29,148.32742914761192,Low,8,0.29798404512828724,Marriage,Moderate,Good,39,Medium,3,3
Patricia Gonzalez,44,Male,Divorced,PhD,162184,Technical,4032.429630559067,36,0,734.4871150887387,High,15,0.26189653428337933,None,Moderate,Fair,29,Medium,2,2
Patricia Miller,54,Female,Divorced,High School,135270,Skilled Labor,897.2424645216004,161,11,486.6061916249482,Medium,1,0.03788158721269197,Relocation,Close,Good,16,High,4,3
Stephen White,29,Male,Single,Master's Degree,68251,Unskilled Labor,6215.933996848008,219,88,461.22179527898766,Medium,9,0.90361430124092,Divorce,Moderate,Good,6,Medium,4,1
Erin Simon,27,Female,Widowed,High School,55962,Professional,6838.060646440051,42,81,264.0516355408667,Low,8,0.5787929031349791,Relocation,Moderate,Good,18,Medium,3,2
Cassandra Walker,26,Male,Married,PhD,171348,Managerial,8793.019574623324,85,58,406.7948463671879,Medium,14,0.35032464239173067,Birth,Moderate,Poor,2,Low,4,3
Karen Martinez,19,Male,Single,PhD,115906,Administrative,8607.593342182596,115,89,611.6497464227275,Medium,1,0.7144450794935086,Relocation,Moderate,Fair,22,Medium,2,1
Joseph Daniel,66,Female,Divorced,High School,80259,Unskilled Labor,684.4736361906622,18,66,369.77593457991867,Medium,5,0.5116232301141874,None,Close,Poor,37,Medium,1,3
Megan Perez,81,Female,Married,Bachelor's Degree,90911,Unskilled Labor,9344.964853713263,129,44,916.655613909181,Low,15,0.42841573648059417,Divorce,Far,Fair,20,High,2,2
Jennifer Hernandez,20,Male,Single,Master's Degree,120717,Skilled Labor,84.9326375515025,291,36,342.1536080508838,Medium,8,0.03542473164232951,Relocation,Far,Good,12,Medium,4,3
John Burke,78,Male,Widowed,Master's Degree,196322,Technical,5389.327568494579,1,5,458.75363438895,Low,19,0.4210440501228817,Relocation,Moderate,Poor,48,High,1,4
Michael Parker,29,Male,Widowed,High School,182695,Professional,7603.996224276205,23,7,745.0786607523399,Medium,11,0.7286489403188019,Divorce,Close,Fair,29,Medium,1,1
